CreationDate,Creator,Date_of_Movement,EditDate,Editor,Fault_Slip_Measurement_Type,Feature_Origin,GlobalID,Heave_cm,Heave_max_cm,Heave_min_cm,Horizontal_Separation_Max_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_cm,Local_Fault_Azimuth_Degrees,Local_Fault_Dip,Mode_Observation,Net_Slip_Max_cm,Net_Slip_Min_cm,Net_Slip_Preferred_cm,Notes,OBJECTID,Plunge,Rupture_Expression,Rupture_Width_Max_m,Rupture_Width_Min_m,Rupture_Width_m,Scarp_Facing_Direction,Slip_Azimuth,Slip_Offset_Feature_Notes,Slip_Sense,Station_ID,VM_Slip_Azimuth,Vector_Offset_Feature_Notes,Vertical_Separation_Max_cm,Vertical_Separation_Min_cm,Vertical_Separation_cm,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_comp_offset,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_photo,_source,_team,_team_id,_trace,_vert_slip_type
,DeLong,2014:09:11,,,,Uncertain,,,,,,,,,,,,,,"Source: Napa 2014; Minor cracking; no obvious offset; possibly old. Compiler note: From photo, fracture is oriented NW, not consistent with lineament trend to be an en echelon fracture. Also, looks to be about 10 m E of lineament.",1,,,,,,,,,,1.0,,,,,,,,,,,,,,38.205764,-122.309377,,,Soil,38.2059021,-122.3093948,Y,,,,A,
,Lancaster,2014:08:26,,,,Uncertain,,,,,,,,320,,,,,,Source: Napa 2014; Mole tracks along levee. Trend 320 azimuth. About 1 in high and 3 in wide.,2,,,,,,,,,,2.0,,,,,,,,,,,,,,38.20603297,-122.2990855,,,Soil,38.20602798,-122.29907,Y,,,,A,
,Lancaster,2014:08:26,,,,Uncertain,,,,,,,,10,,,,,,Source: Napa 2014; Northeast trending fractures through levee. 2-3 in wide; trending 10 degree azimuth.,3,,,,,,,,,,3.0,,,,,,,,,,,,,,38.20675395,-122.3009929,,,Soil,38.20679474,-122.300972,Y,,,,A,
,Lancaster,2014:08:26,,,,Uncertain,,,,,,,,310,,,,,,Source: Napa 2014; Faint mole track in levee. Roughly 4 in wide with no available offset indicators. Azimuth of mole track trend 310. ,4,,,,,,,,,,4.0,,,,,,,,,,,,,,38.2079861,-122.3057383,,,Soil,38.20806885,-122.3056717,Y,,,,A,
,DeLong,2014:09:11,,,,Tectonic,,,,,,,,,,,,,,"Source: Napa 2014; Cracking. Compiler note: On UAVSAR lineament that shows postseismic movement. From photo, trend of fracture is to the NE, consistent with this being an en echelon fracture.",5,,,,,,,,,,5.0,,,,,,,,,,,,,,38.20818446,-122.3091868,,,Pavement,38.2081337,-122.3091583,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Rupture based on disturbed vegetation and water-filled depressions.,6,,,,,,,,,,6.0,,,,,,,,,,,,,,38.21331904,-122.3066005,,,Soil,38.21330643,-122.3066254,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Abrupt drainage coincident with apparent fault rupture. Dying vegetation aligns with water-filled cracks.,7,,,,,,,,,,7.0,,,,,,,,,,,,,,38.21358989,-122.3068675,,,Soil,38.21371841,-122.3069382,Y,,,,A,
,DeLong,2014:09:12,,,,Uncertain,,,,,,,,,,,,,,Source: Napa 2014; Ground cracking in area. No evidence it is tectonic.,8,,,,,,,,,,8.0,,,,,,,,,,,,,,38.21721385,-122.3088969,,,Soil,38.21720886,-122.3088837,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Possible fault rupture in vegetation.,9,,,,,,,,,,9.0,,,,,,,,,,,,,,38.21908804,-122.309136,,,Soil,38.21925735,-122.3092728,Y,,,,A,
,Hoirup/Hitchcock,2014:09:10,,,,Tectonic,,,,,,,,,,,,,,Source: Napa 2014; Possible fault rupture; gap in vegetation.,10,,,,,,,,,,10.0,,,,,,,,,,,,,,38.22007869,-122.309553,,,Soil,38.2200737,-122.3095398,Y,,,,A,
