OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
161,1.0,Uncertain,"Source: Napa 2014; Minor cracking; no obvious offset; possibly old. Compiler note: From photo, fracture is oriented NW, not consistent with lineament trend to be an en echelon fracture. Also, looks to be about 10 m E of lineament.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:11,DeLong,,,,,,,,,,,,,,,,,,38.205764,-122.309377,Y,Soil,38.2059021,-122.3093948,
790,2.0,Uncertain,Source: Napa 2014; Mole tracks along levee. Trend 320 azimuth. About 1 in high and 3 in wide.,,,,,320,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Lancaster,,,,,,,,,,,,,,,,,,38.20603297,-122.2990855,Y,Soil,38.20602798,-122.29907,
791,3.0,Uncertain,Source: Napa 2014; Northeast trending fractures through levee. 2-3 in wide; trending 10 degree azimuth.,,,,,10,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Lancaster,,,,,,,,,,,,,,,,,,38.20675395,-122.3009929,Y,Soil,38.20679474,-122.300972,
792,4.0,Uncertain,Source: Napa 2014; Faint mole track in levee. Roughly 4 in wide with no available offset indicators. Azimuth of mole track trend 310. ,,,,,310,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:26,Lancaster,,,,,,,,,,,,,,,,,,38.2079861,-122.3057383,Y,Soil,38.20806885,-122.3056717,
163,5.0,Tectonic,"Source: Napa 2014; Cracking. Compiler note: On UAVSAR lineament that shows postseismic movement. From photo, trend of fracture is to the NE, consistent with this being an en echelon fracture.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:11,DeLong,,,,,,,,,,,,,,,,,,38.20818446,-122.3091868,Y,Pavement,38.2081337,-122.3091583,
1994,6.0,Tectonic,Source: Napa 2014; Rupture based on disturbed vegetation and water-filled depressions.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.21331904,-122.3066005,Y,Soil,38.21330643,-122.3066254,
1993,7.0,Tectonic,Source: Napa 2014; Abrupt drainage coincident with apparent fault rupture. Dying vegetation aligns with water-filled cracks.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.21358989,-122.3068675,Y,Soil,38.21371841,-122.3069382,
113,8.0,Uncertain,Source: Napa 2014; Ground cracking in area. No evidence it is tectonic.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:12,DeLong,,,,,,,,,,,,,,,,,,38.21721385,-122.3088969,Y,Soil,38.21720886,-122.3088837,
1992,9.0,Tectonic,Source: Napa 2014; Possible fault rupture in vegetation.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.21908804,-122.309136,Y,Soil,38.21925735,-122.3092728,
1988,10.0,Tectonic,Source: Napa 2014; Possible fault rupture; gap in vegetation.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.22007869,-122.309553,Y,Soil,38.2200737,-122.3095398,
1991,11.0,Tectonic,Source: Napa 2014; Fault rupture.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.22024316,-122.3095115,Y,Soil,38.22023773,-122.3095016,
1989,12.0,Tectonic,Source: Napa 2014; Water at fault?,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:10,Hoirup/Hitchcock,,,,,,,,,,,,,,,,,,38.22032932,-122.3095359,Y,Soil,38.22032547,-122.3095245,
