OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_source,_team,_team_id,_vert_slip_type
1,19,Tectonic,Source: Ridgecrest 2019; nan,,Left,,,,,Separation,,,,,,,,,,,,,,8.0,7.5,8.5,,,,,,2019-07-04T19:37:17-07,G. Funning,,,,,,,,,,,,,,,,,Measurement estimated from photograph.,,,,,Cultural,,35.64403889,-117.5367056,UCR,At Site,Road striping,35.64403889,-117.5367056,6.4,G. Funning/UCR,'07/04-2',
2,Red Point 3,Tectonic,Source: Ridgecrest 2019; Offset pebble along secondary fault strand. Measured by Chris Madugo on 7/5/19,,Left,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,2019-07-05T00:00:00-07,C. Madugo,,,,,,,,,,,,,,,,,Observation time not reported,,,,,Natural,,35.62398253,-117.5674852,PG&E,At Site,Offset pebble,35.62398253,-117.5674852,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/05-5',
3,1,Tectonic,"Source: Ridgecrest 2019; Cracks 60 cm wide x 30 cm  deep
",,Extensional,,,,,,60.0,,,Crack(s),,,,,,,,,,,,,,,,,,2019-07-05T07:38:29-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.63953299,-117.5406193,UNR,At Site,,35.63953299,-117.5406193,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
4,2,Tectonic,"Source: Ridgecrest 2019; Moletrack and and open crack 30 cm wide x 15 cm deep 
",,Extensional,,,,,,30.0,,,Mole track,,,,,,,,,,,,,,,,,,2019-07-05T07:41:44-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.63989862,-117.539949,UNR,At Site,,35.63989862,-117.539949,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
5,4,Tectonic,"Source: Ridgecrest 2019; Moletrack along low ridge.  Between stations 4 and 6 slope is shattered over a width of 45 m, main break is up on NW 3-5 cm.  Many cracks up to 1 cm wide on either side of main break. ",,,East,,,,,,,1.0,Mole track,45.0,,,,,,,,,,,,,3.0,5.0,,,2019-07-05T09:00:32-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Cultural,Extension,35.6371465,-117.5442228,UNR,At Site,,35.6371465,-117.5442228,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
6,Red Point 2,Tectonic,Source: Ridgecrest 2019; Offset northeast edge of pipeline road. Measured by Chris Madugo on 7/5/2019.  Offset road edge (Strand 2 in annotated photo): 13 +\-1 inch; 1.08 +\-0.08 feet left-lateral.,,Left,,,,,Separation,,,,,,,,,,,,,,33.0,30.5,35.5,,,,,,2019-07-05T11:15:00-07,C. Madugo,,,,,,,,,,,,,,,,,Observation time estimated,,,,,Cultural,,35.62404857,-117.5675534,PG&E,At Site,Road edge,35.62404857,-117.5675534,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/05-5',
7,Observation 7,Tectonic,Source: Ridgecrest 2019; Southern extent of fault rupture zone.  1/4 inch opening N20W extends across dirt road,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,2019-07-05T11:24:00-07,C. Hitchcock,,,,,,,,,,,,,,,,,,,,,,Cultural,Extension,35.62330151,-117.5665831,InfraTerra,At Site,Road,35.62330151,-117.5665831,6.4,"C. Hitchcock/InfraTerra
O. Kozaci/InfraTerra
C. Madugo/PG&E",'07/05-5',
8,11,Tectonic,"Source: Ridgecrest 2019; Distributed cracking along crest of low ridge, several cm down to NW along individual cracks.  Ridge top shattering?",,Normal,West,,,,,,,,Crack(s),,,,,,,,,,,,,,,2.0,,,2019-07-05T11:34:04-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,,35.63697958,-117.5467079,UNR,At Site,,35.63697958,-117.5467079,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
9,12,Shaking,"Source: Ridgecrest 2019; Photograph view to SE, curvilinear open cracks, distributed from foreground to near trucks, cracks are open several cm.  Cracks also bend around granitic boulder in middle ground (concentric cracks around boulder). ",,Extensional,,,,,,,,2.0,Crack(s),,,,,,,,,,,,,,,,,,2019-07-05T11:37:20-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.63641013,-117.546576,UNR,At Site,,35.63641013,-117.546576,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
10,Wpt 046,Tectonic,"Source: Ridgecrest 2019; Cracks in asphalt spread about 1 cm, no observable lateral displacement, no extension of cracks from asphalt into ground.",,Extensional,,,,,,1.0,,,Crack(s),,,,,,,,,,,,,,,,,,2019-07-05T12:24:15-07,J. Hernandez,,,,,,,,,,,,,,,,,,,,,,Cultural,Extension,35.70029497,-117.5022436,CGS,At Site,Road,35.70029497,-117.5022436,6.4,"J. Hernandez/CGS
K. Hudnut/USGS",'07/05-1',
11,13,Tectonic,"Source: Ridgecrest 2019; Distributed cracking with a few cm down to SE across many cracks.  Photo 186 view NW, photo 187 view SW.  Fault zone here is at least 75 meters wide and consists of 3 primary faults with zones of cracking in between each fault.  Zones of cracking continues across ridge to the NW, however the majority of the displacement appears to be along the SE side of ridge.",,,East,,,,,,,,Crack(s),75.0,,,,,,,,,,,,,,2.0,,,2019-07-05T12:40:26-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,,35.63368874,-117.5519225,UNR,At Site,,35.63368874,-117.5519225,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
12,14,Tectonic,"Source: Ridgecrest 2019; Distributed cracking with down to SE up to 5 cm on individual cracks.  Left-lateral offset of small gully of 45 cm.  Photo 188 and 190 view to NW, photo 189 view to NE. ",,Left,East,,,,Separation,,,,,,,,,,,,,,45.0,35.0,55.0,,,5.0,,,2019-07-05T12:53:03-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.6336087,-117.5522267,UNR,At Site,Gully,35.6336087,-117.5522267,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
13,15,Tectonic,Source: Ridgecrest 2019; Distributed cracking and moletrack along SE side of low ridge.  Moletrack cracks up to 50 cm deep.  Main fault here appears to be constrained to a ~10 m wide zone with some cracking distributed NW of main trace on linear ridge.  Some moletrack pop ups have uphill facing scarps ~5 cm high.  Cracks also observed on NW side of ridge between stations 15 and 16.,,,East,,,,,,,,Mole track,10.0,,,,,,,,,,,,5.0,,,,,2019-07-05T12:59:53-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,,35.63314447,-117.5534753,UNR,At Site,,35.63314447,-117.5534753,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
14,Placemark 5,Tectonic,"Source: Ridgecrest 2019; Asphalt break, approximately 2.5 inches",,Left,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,2019-07-05T13:15:35-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.64408376,-117.5361371,CGS,At Site,Asphalt,35.64408376,-117.5361371,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',
15,Placemark 1,Tectonic,"Source: Ridgecrest 2019; Asphalt rupture in highway, south shoulder, approximately 2.5 inches",,Left,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,2019-07-05T13:21:54-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.64411891,-117.5358559,CGS,At Site,Road,35.64411891,-117.5358559,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',
16,17,Tectonic,Source: Ridgecrest 2019; Wide zone of distributed cracking.  Left-lateral offsets of subtle gullys along some traces.  Two main strands here.  NW strand has open fissure 60 cm wide x 20 cm deep.,,Extensional,,,,,,60.0,,,Crack(s),,,,,,,,,,,,,,,,,,2019-07-05T13:54:12-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.63213248,-117.5555706,UNR,At Site,,35.63213248,-117.5555706,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
17,Placemark 1,Tectonic,"Source: Ridgecrest 2019; Rupture in asphalt, shoulder offset 47 cm on north edge",,Left,,,,,Separation,,,,,,,,,,,,,,47.0,,,,,,,,2019-07-05T13:57:51-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.61821717,-117.5728696,CGS,At Site,Asphalt,35.61821717,-117.5728696,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',
18,18,Tectonic,Source: Ridgecrest 2019; SE facing scarp across dirt road.  Vertically offsets road.  Road is also left-laterally offset 37 cm.  In photograph tape is along left edge of motorcycle track and tape measure shows offset.  Fault zone is much narrower here than between pts 15 and 16. Offset of road 15 inches,,Left,East,,,,Separation,,,,,,,,,,,,,,37.0,22.0,52.0,,,,,,2019-07-05T14:07:05-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.63124494,-117.556307,UNR,At Site,Dirt Road,35.63124494,-117.556307,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
19,Placemark 6,Tectonic,"Source: Ridgecrest 2019; Rupture in dirt road, 6.5 cm vertical uplift, E side up, approx 9 cm offset @ N10W",,Left - Normal,West,,,350.0,Offset,,,,,,,,350.0,,11.10000038,,,,9.0,,,6.5,,,,,2019-07-05T14:52:15-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.60067617,-117.5909764,CGS,At Site,Dirt Road,35.60067617,-117.5909764,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',Separation
20,Placemark 7,Tectonic,"Source: Ridgecrest 2019; Conjugate right-lateral fault ruptures in dirt road, approx 2 cm offset",,Right,,,,,Separation,,,,,,,,,,,,,,2.0,,,,,,,,2019-07-05T15:11:11-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.59449021,-117.5937065,CGS,At Site,Dirt Road,35.59449021,-117.5937065,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',
21,Placemark 8,Tectonic,"Source: Ridgecrest 2019; Rupture in dirt road, right-lateral offset, approx 2.5 cm @ N25W",,Right,,,,335.0,Offset,,,,,,,,335.0,,,,,,2.5,,,,,,,,2019-07-05T16:04:06-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.60287592,-117.6165615,CGS,At Site,Dirt Road,35.60287592,-117.6165615,6.4,"
M. DeFrisco/CGS
B. Olson/CGS",'07/05-2',
22,21,Tectonic,Source: Ridgecrest 2019; Photo 200 view to south and photo 201 view to north of large extensional fissure slightly down to the nw.  90 cm wide x 30 cm deep. ,,Extensional,West,,,,,90.0,,,,,,,,,,,,,,,,,,,,,2019-07-05T17:34:06-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.62570068,-117.5657852,UNR,At Site,,35.62570068,-117.5657852,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
23,23,Tectonic,"Source: Ridgecrest 2019; Up on SE scarp along flank of bedrock knob. 
5 in high scarp
",,Normal,West,,,,,,,,Scarp,,,,,,,,,,,,,12.69999981,,,,,2019-07-05T17:41:07-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,,35.62686927,-117.5643124,UNR,At Site,,35.62686927,-117.5643124,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',Separation
24,24,Tectonic,"Source: Ridgecrest 2019; Channel offset, thalweg 176 + 0/-30 cm, narrow well defined narrow (15 cm) channel, pressure ridge goes across it. Well defined fault, 2 m wide fault zone fault bend head to northwest from here.
",,Left,,,,,Separation,,,,,2.0,,,,,,,,,176.0,146.0,176.0,,,,,,2019-07-05T17:44:55-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62835803,-117.5615431,UNR,At Site,Channel thalweg,35.62835803,-117.5615431,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
25,24,Tectonic,"Source: Ridgecrest 2019; Channel offset, thalweg offset 120 +/- 10 cm
Fault bend heads to northwest from here
",,Left,,,,,Separation,,,,,,,,,,,,,,120.0,110.0,130.0,,,,,,2019-07-05T17:44:55-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62847009,-117.5611109,UNR,At Site,Channel thalweg,35.62847009,-117.5611109,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
26,25,Tectonic,"Source: Ridgecrest 2019; Channel offset, NE margin about 110 cm +/- 25 cm, fault has right step and compressional mound (uphill facing) going across channel, NE margin also has bedrock ridge with possible stream deflection 
",,Left,,,,,Separation,,,,,,,,,,,,,,110.0,85.0,135.0,,,,,,2019-07-05T17:50:38-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62749359,-117.5635121,UNR,At Site,Channel,35.62749359,-117.5635121,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
27,25,Tectonic,"Source: Ridgecrest 2019; Left-laterally offset gully filled with sand (grus).  Also associated with vertical displacement down to NW. Offset gully 2.5 ft
",,Left,West,,,,Separation,,,,,,,,,,,,,,76.0,66.0,86.0,,,,,,2019-07-05T17:50:38-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62719658,-117.5635915,UNR,At Site,Gully,35.62719658,-117.5635915,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
28,25,Tectonic,"Source: Ridgecrest 2019; Stream offset thalweg and NE margin 67 +/- 10 cm, fault associated with distributed cracking over a width of 2 m. Offset gully 2.5 ft
",,Left,,,,,Separation,,,,Crack(s),2.0,,,,,,,,,67.0,57.0,77.0,,,,,,2019-07-05T17:50:38-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62714141,-117.5636081,UNR,At Site,Stream thalweg,35.62714141,-117.5636081,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
29,26,Tectonic,"Source: Ridgecrest 2019; Stream offset 79 +/- 10 cm, thalweg also 79 +/- 10 cm 
",,Left,,,,,Separation,,,,,,,,,,,,,,79.0,69.0,89.0,,,,,,2019-07-05T17:53:59-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62702935,-117.5638322,UNR,At Site,Stream,35.62702935,-117.5638322,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
30,26,Tectonic,"Source: Ridgecrest 2019; Left-laterally offset gully filled with sand (grus). Offset gully up to 1 m 
",,Left,,,,,Separation,,,,,,,,,,,,,,,,100.0,,,,,,2019-07-05T17:53:59-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.62715742,-117.5636721,UNR,At Site,Gully,35.62715742,-117.5636721,6.4,"B. Brooks/USGS
R. Koehler/UNR
I. Pierce/UNR",'07/05-4',
31,27,Tectonic,"Source: Ridgecrest 2019; Sidehill scarp, offset gravel gully, several other fractures at base of hill.  This scarp extends across a saddle.  Photo 353 view NE of scarp, Photo 352 close up view of scarp.
New rupture 7.1",,Right,,,,,Separation,,,,Scarp,,,,,,,,,,50.0,40.0,60.0,,,,,,2019-07-05T20:54:11-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63217964,-117.4423255,UNR,At Site,Gully,35.63217964,-117.4423255,7.1,"B. Brooks/USGS
I. Pierce/UNR",'07/05-6',
32,27,Tectonic,"Source: Ridgecrest 2019; Left stepping cracks separated by push up mounds, cracks open 30 cm wide x 30 cm deep. 
New rupture 7.1",,Right,,,,,,30.0,,,En echelon,,,,,,,,,,,,,,,,,,2019-07-05T20:54:11-07,I. Pierce,,,,,,,,,,,,,,,,,,,,,,,Extension,35.63783588,-117.4546358,UNR,At Site,,35.63783588,-117.4546358,7.1,"B. Brooks/USGS
I. Pierce/UNR",'07/05-6',
